City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
229,Ferkessedougou,CI,2022-11-24 17:49:39,9.6,-5.2,83.07,22,76,3.8,broken clouds
230,Springbok,ZA,2022-11-24 17:49:40,-29.6643,17.8865,60.03,54,0,10.51,clear sky
231,Dwarka,IN,2022-11-24 17:49:40,22.2394,68.9678,77.68,47,63,10.42,broken clouds
232,Olga,RU,2022-11-24 17:49:40,43.7444,135.2892,30.42,75,38,1.34,scattered clouds
233,Port Blair,IN,2022-11-24 17:49:41,11.6667,92.75,78.93,81,100,6.31,light rain
234,Tuatapere,NZ,2022-11-24 17:49:41,-46.1333,167.6833,46.22,92,96,9.19,overcast clouds
235,Chimore,BO,2022-11-24 17:49:42,-16.9833,-65.1333,96.82,28,100,3.44,overcast clouds
236,Port-Gentil,GA,2022-11-24 17:49:43,-0.7193,8.7815,80.56,89,75,12.66,thunderstorm with light rain
237,Dalby,AU,2022-11-24 17:49:43,-27.1833,151.2667,61.54,48,49,5.68,scattered clouds
238,Sattahip,TH,2022-11-24 17:49:43,12.6664,100.9007,82.98,89,40,4.61,light rain
239,Trairi,BR,2022-11-24 17:47:36,-3.2778,-39.2689,85.42,56,40,15.08,scattered clouds
240,Touros,BR,2022-11-24 17:49:44,-5.1989,-35.4608,83.57,64,41,14.09,scattered clouds
241,Buchanan,LR,2022-11-24 17:49:44,5.8808,-10.0467,79.14,80,96,5.61,light rain
242,San Jeronimo,PE,2022-11-24 17:49:45,-11.9472,-75.2829,60.31,55,66,6.73,broken clouds
243,Limpapa,PH,2022-11-24 17:49:45,7.1197,121.9106,77.32,82,96,1.52,overcast clouds
244,Petawawa,CA,2022-11-24 17:45:47,45.9001,-77.3328,38.79,73,100,10.36,overcast clouds
245,Panama City,PA,2022-11-24 17:45:41,8.9936,-79.5197,85.95,79,40,6.91,scattered clouds
246,Boende,CD,2022-11-24 17:49:46,-0.2167,20.8667,74.86,85,61,1.54,broken clouds
247,Mpulungu,ZM,2022-11-24 17:49:46,-8.7623,31.1141,73.69,80,71,3.42,light rain
248,College,US,2022-11-24 17:49:47,64.8569,-147.8028,14.32,82,100,0.0,mist
249,Mahanoro,MG,2022-11-24 17:49:47,-19.9,48.8,74.05,80,71,4.45,broken clouds
250,Lebu,CL,2022-11-24 17:49:48,-37.6167,-73.65,60.3,71,100,20.42,overcast clouds
251,Barrancas,CO,2022-11-24 17:49:48,10.9576,-72.7877,81.68,85,42,5.37,scattered clouds
252,Wakiso,UG,2022-11-24 17:49:49,0.4044,32.4594,72.95,95,81,2.01,light rain
253,Sanmenxia,CN,2022-11-24 17:49:50,34.7747,111.1814,49.64,73,53,4.07,broken clouds
254,Sioux Lookout,CA,2022-11-24 17:49:50,50.1001,-91.917,32.07,93,100,5.75,overcast clouds
255,Esik,KZ,2022-11-24 17:49:50,43.3552,77.4525,33.22,67,100,6.62,overcast clouds
